"Numéro de la circonscription";"Numéro du candidat";"Nom";"Prénom";"Numéro du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux de vote";"Nombre de votes en avance"
"423";"443";"Fontecilla";"Andrés";"11";"Q.S.";"9330";"27.69";"0"
"423";"285";"Céré";"Pierre";"8";"P.Q.";"5369";"15.93";"0"
"423";"224";"Assouline";"Valérie";"27";"C.A.Q.-É.F.L.";"2431";"7.21";"0"
"423";"455";"Tessier";"Jeremy";"10";"P.V.Q./G.P.Q.";"482";"1.43";"0"
"423";"332";"Tremblay";"Miguel";"26";"O.N. - P.I.Q.";"263";"0.78";"0"
"423";"637";"St-Onge";"Hugô";"2";"B.P.";"143";"0.42";"0"
"423";"686";"Macrisopoulos";"Peter";"7";"P.M.L.Q.";"116";"0.34";"0"
"439";"585";"Polo";"Saul";"6";"P.L.Q./Q.L.P.";"16880";"44.2";"4978"
"439";"87";"Bureau-Blouin";"Léo";"8";"P.Q.";"11902";"31.17";"0"
"439";"306";"Bolduc";"Vincent";"27";"C.A.Q.-É.F.L.";"6552";"17.16";"0"
"439";"706";"Chatel-Launay";"Nicolas";"11";"Q.S.";"2151";"5.63";"0"
"439";"753";"McKenna";"Léo";"10";"P.V.Q./G.P.Q.";"516";"1.35";"0"
"439";"855";"Voyer";"David";"26";"O.N. - P.I.Q.";"188";"0.49";"0"
"583";"859";"Boulet";"Julie";"6";"P.L.Q./Q.L.P.";"12422";"52.58";"6930"
"583";"862";"Beaudoin";"André";"8";"P.Q.";"5492";"23.25";"0"
"583";"499";"Gauthier";"Sylvain";"27";"C.A.Q.-É.F.L.";"4432";"18.76";"0"
"583";"622";"Dubois";"Jean-François";"11";"Q.S.";"1104";"4.67";"0"
"583";"861";"Clavet-Massicotte";"Gabriel-Olivier";"26";"O.N. - P.I.Q.";"124";"0.52";"0"
"583";"247";"Bédard";"Jean-Paul";"7";"P.M.L.Q.";"52";"0.22";"0"
"663";"220";"Dubé";"Christian";"27";"C.A.Q.-É.F.L.";"14131";"40.49";"1943"
"663";"280";"Turmel";"Simon";"6";"P.L.Q./Q.L.P.";"12188";"34.93";"0"
"663";"217";"Girard";"Sylvie";"8";"P.Q.";"5797";"16.61";"0"
"663";"482";"Bonnier Viger";"Yv";"11";"Q.S.";"2147";"6.15";"0"
"663";"480";"Roy";"Sébastien";"22";"É.A.P. - P.C.Q.";"274";"0.79";"0"
"663";"578";"Belley";"Nicolas";"26";"O.N. - P.I.Q.";"252";"0.72";"0"
"663";"543";"Biron";"Paul";"4";"P.U.N.";"107";"0.31";"0"
"289";"386";"Lessard";"Laurent";"6";"P.L.Q./Q.L.P.";"19296";"48.96";"7561"
"289";"868";"de la Sablonnière";"Luc";"27";"C.A.Q.-É.F.L.";"11735";"29.77";"0"
"289";"106";"Mathieu";"Kaven";"8";"P.Q.";"6147";"15.6";"0"
"289";"900";"Blouin";"Nadia";"11";"Q.S.";"1403";"3.56";"0"
"289";"669";"Rancourt";"Sylvain";"22";"É.A.P. - P.C.Q.";"414";"1.05";"0"
"289";"469";"Grégoire-Gauthier";"Annie";"26";"O.N. - P.I.Q.";"193";"0.49";"0"
"289";"785";"Leblanc";"Rodrigue";"0";"Ind";"143";"0.36";"0"
"289";"595";"Cadieux";"Denis";"33";"M.P.Q.";"83";"0.21";"0"
"653";"363";"Hamad";"Sam";"6";"P.L.Q./Q.L.P.";"18327";"49.22";"8677"
"653";"353";"Asselin";"Mario";"27";"C.A.Q.-É.F.L.";"9650";"25.92";"0"
"653";"228";"Dallaire";"Patrice";"8";"P.Q.";"6841";"18.37";"0"
"653";"361";"Minville";"Pascal";"11";"Q.S.";"1840";"4.94";"0"
"653";"89";"Bergeron";"Dany";"22";"É.A.P. - P.C.Q.";"310";"0.83";"0"
"653";"593";"Côté";"Patrick";"26";"O.N. - P.I.Q.";"266";"0.71";"0"
"399";"550";"Poeti";"Robert";"6";"P.L.Q./Q.L.P.";"26251";"70.08";"21060"
"399";"525";"Leboeuf-McGregor";"Richard";"8";"P.Q.";"5191";"13.86";"0"
"399";"710";"Bouchaala";"Zoubir";"27";"C.A.Q.-É.F.L.";"3711";"9.91";"0"
"399";"820";"Emond";"Alexandre";"11";"Q.S.";"1508";"4.03";"0"
"399";"573";"Stevenson";"Stéphanie";"10";"P.V.Q./G.P.Q.";"619";"1.65";"0"
"399";"832";"Drouin";"Myriam";"26";"O.N. - P.I.Q.";"177";"0.47";"0"
"213";"143";"Drainville";"Bernard";"8";"P.Q.";"11614";"38.17";"3688"
"213";"205";"Tremblay";"Jean-Guy";"6";"P.L.Q./Q.L.P.";"7926";"26.05";"0"
"213";"598";"Provencher";"Guillaume";"27";"C.A.Q.-É.F.L.";"6269";"20.6";"0"
"213";"260";"Lévesque";"Carl";"11";"Q.S.";"3518";"11.56";"0"
"213";"371";"Lovatt-Smith";"Catherine";"10";"P.V.Q./G.P.Q.";"707";"2.32";"0"
"213";"732";"Villemaire";"Fabien";"26";"O.N. - P.I.Q.";"244";"0.8";"0"
"213";"251";"Chénier";"Pierre";"7";"P.M.L.Q.";"107";"0.35";"0"
"213";"896";"Portron";"Florent";"29";"É.A.";"44";"0.14";"0"
"407";"227";"Ouimet";"François";"6";"P.L.Q./Q.L.P.";"20342";"62.51";"15618"
"407";"375";"Fortin";"Élisabeth";"8";"P.Q.";"4724";"14.52";"0"
"407";"677";"Thériault";"Marc";"27";"C.A.Q.-É.F.L.";"4358";"13.39";"0"
"407";"557";"Raymond-Dufour";"Marie-France";"11";"Q.S.";"1915";"5.88";"0"
"407";"740";"Symon";"John";"10";"P.V.Q./G.P.Q.";"679";"2.09";"0"
"407";"457";"Crespi";"Pierre Ennio";"22";"É.A.P. - P.C.Q.";"195";"0.6";"0"
"407";"777";"Bisaillon-Roy";"Thierry";"23";"P.N.";"178";"0.55";"0"
"407";"610";"Paquette";"Maude";"26";"O.N. - P.I.Q.";"151";"0.46";"0"
"349";"382";"Plante";"Marc H.";"6";"P.L.Q./Q.L.P.";"13658";"39.24";"3812"
"349";"621";"Poisson";"Martin";"27";"C.A.Q.-É.F.L.";"9846";"28.29";"0"
"349";"364";"Lahaie";"Patrick";"8";"P.Q.";"8739";"25.11";"0"
"349";"350";"Delmé";"Linda";"11";"Q.S.";"2013";"5.78";"0"
"349";"762";"Thibodeau";"Jimmy";"23";"P.N.";"238";"0.68";"0"
"349";"818";"Brien";"Dany";"26";"O.N. - P.I.Q.";"154";"0.44";"0"
"349";"853";"Requilé";"Laurence J.";"28";"P.Éq.";"119";"0.34";"0"
"349";"905";"Richmond";"François-Xavier";"33";"M.P.Q.";"35";"0.1";"0"
"465";"234";"Lemay";"Mathieu";"27";"C.A.Q.-É.F.L.";"13235";"38.35";"534"
"465";"208";"Gadoury Hamelin";"Diane";"8";"P.Q.";"12701";"36.8";"0"
"465";"553";"Féné";"Wenet";"6";"P.L.Q./Q.L.P.";"5869";"17.01";"0"
"465";"667";"St-Pierre";"Joëlle";"11";"Q.S.";"2168";"6.28";"0"
"465";"768";"Bugeaud";"Pierre-Alexandre";"26";"O.N. - P.I.Q.";"289";"0.84";"0"
"465";"631";"Giroux";"Éric";"22";"É.A.P. - P.C.Q.";"249";"0.72";"0"
